Timestamp,Close,High,Low,Open,Volume,Symbol,Price,MA10,MA50,Percentage_Change,MA50_trend,Signal,Position
2023-07-31 13:30:00+00:00,334.8399963378906,337.69500732421875,333.3599853515625,336.9200134277344,6022171,MSFT,334.8399963378906,,,,,0,0
2023-07-31 14:30:00+00:00,334.57000732421875,336.3435974121094,333.8999938964844,334.8599853515625,3024832,MSFT,334.57000732421875,,,-0.08063224722993922,,0,0
2023-07-31 15:30:00+00:00,334.69000244140625,334.8349914550781,333.6400146484375,334.5899963378906,2465128,MSFT,334.69000244140625,,,0.03586547346163815,,0,0
2023-07-31 16:30:00+00:00,334.1000061035156,334.7699890136719,333.8599853515625,334.6700134277344,1914397,MSFT,334.1000061035156,,,-0.17628143463709334,,0,0
2023-07-31 17:30:00+00:00,334.4800109863281,334.6700134277344,333.95001220703125,334.0799865722656,1827972,MSFT,334.4800109863281,,,0.11373986108063061,,0,0
2023-07-31 18:30:00+00:00,334.7099914550781,335.79998779296875,334.32989501953125,334.45001220703125,2390849,MSFT,334.7099914550781,,,0.06875761217295384,,0,0
2023-07-31 19:30:00+00:00,336.0,336.0,334.1400146484375,334.69000244140625,2844418,MSFT,336.0,,,0.38541082664245163,,0,0
2023-08-01 13:30:00+00:00,335.7200012207031,335.82000732421875,333.70001220703125,335.19000244140625,4617472,MSFT,335.7200012207031,,,-0.08333297002882656,,0,0
2023-08-01 14:30:00+00:00,337.7132873535156,337.8999938964844,335.6199951171875,335.75799560546875,3152370,MSFT,337.7132873535156,,,0.5937346972372026,,0,0
2023-08-01 15:30:00+00:00,337.2349853515625,338.32501220703125,337.0,337.70001220703125,1669609,MSFT,337.2349853515625,335.40582885742185,,-0.1416296070851475,,0,0
2023-08-01 16:30:00+00:00,337.260009765625,338.5400085449219,336.7099914550781,337.2200012207031,1458399,MSFT,337.260009765625,335.6478302001953,,0.007420467967289568,,0,0
2023-08-01 17:30:00+00:00,337.70001220703125,338.08990478515625,336.5899963378906,337.30499267578125,1328579,MSFT,337.70001220703125,335.96083068847656,,0.130463864278485,,0,0
2023-08-01 18:30:00+00:00,337.19000244140625,338.06689453125,336.9700012207031,337.7699890136719,1250231,MSFT,337.19000244140625,336.21083068847656,,-0.15102450316535343,,0,0
