Symbol,Entry Price,Entry Time,Exit Time,Exit Price,Closed Position,Profit
TSLA,1.3933329582214355,2010-09-08,2010-09-10,1.3446669578552246,1,-0.27
TSLA,1.777999997138977,2011-01-04,2011-01-06,1.858667016029358,-1,-0.31
TSLA,1.7773330211639404,2011-04-01,2011-04-04,1.722000002861023,1,-0.25
TSLA,1.838000059127808,2011-06-24,2011-06-29,1.8860000371932983,-1,-0.22
TSLA,1.9346669912338257,2011-07-01,2011-07-07,1.98199999332428,1,0.0
TSLA,1.8133330345153809,2011-08-03,2011-08-04,1.649999976158142,-1,0.3
TSLA,1.7013330459594729,2011-09-26,2011-09-27,1.746000051498413,1,0.01
TSLA,1.850000023841858,2011-12-19,2011-12-27,1.9046670198440552,-1,-0.24
TSLA,2.119999885559082,2012-02-06,2012-02-09,2.171999931335449,1,0.0
TSLA,2.150000095367432,2012-04-16,2012-04-19,2.21066689491272,-1,-0.23
TSLA,2.25266695022583,2012-06-22,2012-06-25,2.2073330879211426,1,-0.2
TSLA,1.8233330249786377,2012-07-30,2012-08-01,1.75,-1,0.08
TSLA,2.059999942779541,2012-09-20,2012-09-21,2.001332998275757,1,-0.24
TSLA,1.9259999990463257,2012-10-05,2012-10-12,1.8426669836044312,-1,0.09
TSLA,2.102667093276977,2012-11-07,2012-11-09,2.0213329792022705,1,-0.28
TSLA,2.371999979019165,2013-03-04,2013-03-05,2.44333291053772,-1,-0.24
TSLA,2.6066670417785645,2013-03-11,2013-03-14,2.456666946411133,1,-0.37
TSLA,2.502000093460083,2013-03-25,2013-04-01,2.9286670684814453,-1,-0.86
TSLA,2.9286670684814453,2013-04-01,2013-04-03,2.740000009536743,1,-0.39
TSLA,10.614666938781738,2013-10-30,2013-11-04,11.68000030517578,-1,-0.56
TSLA,10.366666793823242,2013-12-26,2013-12-27,10.074666976928713,1,-0.25
TSLA,13.834667205810549,2014-04-07,2014-04-08,14.36400032043457,-1,-0.29
TSLA,13.662667274475098,2014-06-03,2014-06-16,14.973999977111816,1,0.28
TSLA,16.35066795349121,2014-09-29,2014-10-01,16.016000747680664,-1,-0.04
TSLA,17.18000030517578,2014-11-18,2014-11-19,16.516000747680664,1,-0.3
TSLA,15.286666870117188,2014-12-03,2014-12-05,14.913999557495115,-1,-0.03
TSLA,14.419333457946776,2015-02-10,2015-02-12,13.525333404541016,1,-0.4
TSLA,13.607333183288574,2015-02-24,2015-03-02,13.155332565307615,-1,0.02
TSLA,13.85533332824707,2015-04-15,2015-04-22,14.629332542419434,1,0.11
TSLA,16.167333602905273,2015-08-07,2015-08-11,15.824666976928713,-1,-0.04
TSLA,17.613332748413086,2015-09-21,2015-09-25,17.12733268737793,1,-0.26
TSLA,15.46399974822998,2015-10-07,2015-10-08,15.114666938781738,-1,-0.03
TSLA,15.465999603271484,2015-12-02,2015-12-08,15.114666938781738,1,-0.23
TSLA,13.998000144958496,2016-01-12,2016-01-13,13.354000091552734,-1,0.07
TSLA,13.506667137145996,2016-03-08,2016-03-09,13.914667129516602,1,-0.0
TSLA,13.912667274475098,2016-05-10,2016-05-19,14.347332954406738,-1,-0.26
TSLA,14.835332870483398,2016-07-13,2016-07-20,15.223999977111816,1,-0.02
