Datetime,Close,High,Low,Open,Volume,Symbol,Price
2023-07-31 13:30:00+00:00,322.5400085449219,325.659912109375,322.3800048828125,323.69000244140625,6938873,META,322.5400085449219
2023-07-31 14:30:00+00:00,322.56500244140625,324.1600036621094,321.55999755859375,322.5400085449219,2776881,META,322.56500244140625
2023-07-31 15:30:00+00:00,321.17999267578125,322.7699890136719,320.7799987792969,322.5899963378906,2607441,META,321.17999267578125
2023-07-31 16:30:00+00:00,319.6400146484375,322.5,319.0790100097656,321.17999267578125,3152728,META,319.6400146484375
2023-07-31 17:30:00+00:00,319.67059326171875,320.7799072265625,319.4800109863281,319.635009765625,2030166,META,319.67059326171875
2023-07-31 18:30:00+00:00,319.0950012207031,320.32989501953125,318.69000244140625,319.67999267578125,2243174,META,319.0950012207031
2023-07-31 19:30:00+00:00,318.6099853515625,319.5799865722656,317.5899963378906,319.1099853515625,2651307,META,318.6099853515625
2023-08-01 13:30:00+00:00,318.159912109375,318.7900085449219,314.6600036621094,317.5350036621094,5394979,META,318.159912109375
2023-08-01 14:30:00+00:00,321.84991455078125,322.6000061035156,317.9599914550781,318.114990234375,4688688,META,321.84991455078125
2023-08-01 15:30:00+00:00,322.2900085449219,322.79998779296875,321.1099853515625,321.8500061035156,2232875,META,322.2900085449219
2023-08-01 16:30:00+00:00,322.7586975097656,324.1400146484375,321.54998779296875,322.260009765625,2454016,META,322.7586975097656
2023-08-01 17:30:00+00:00,322.45001220703125,322.760009765625,321.0350036621094,322.7200012207031,2068705,META,322.45001220703125
2023-08-01 18:30:00+00:00,323.04998779296875,323.30999755859375,322.010009765625,322.4601135253906,1773932,META,323.04998779296875
2023-08-01 19:30:00+00:00,322.67999267578125,323.94000244140625,322.6099853515625,323.0400085449219,2496594,META,322.67999267578125
2023-08-02 13:30:00+00:00,316.80999755859375,318.3900146484375,315.3399963378906,318.0,5172221,META,316.80999755859375
2023-08-02 14:30:00+00:00,312.989990234375,317.2200012207031,312.5299987792969,316.80999755859375,3683748,META,312.989990234375
2023-08-02 15:30:00+00:00,311.7533874511719,313.6499938964844,310.6499938964844,312.94000244140625,2453511,META,311.7533874511719
2023-08-02 16:30:00+00:00,313.739990234375,314.2900085449219,311.6600036621094,311.8099060058594,1707680,META,313.739990234375
